
﻿Ticker,close,date,high,low,month,open,volume,Daily_Return,Cumulative_return,sector
ADANIENT,2464.95,10/4/2023 5:30,2502.75,2392.25,2023-10,2402.2,2857377,0.032547911,0.032547911,MINING
ADANIENT,2466.35,10/5/2023 5:30,2486.5,2446.4,2023-10,2477.95,1132455,0.000567963,0.03313436,MINING
ADANIENT,2478.1,10/6/2023 5:30,2514.95,2466.05,2023-10,2466.35,1510035,0.004764125,0.038056341,MINING
ADANIENT,2442.6,10/9/2023 5:30,2459.7,2411.3,2023-10,2440.0,1408224,-0.014325491,0.023185674,MINING
ADANIENT,2498.3,10/10/2023 5:30,2517.95,2443.0,2023-10,2443.0,1771910,0.02280357,0.04651796,MINING
ADANIENT,2488.6,10/11/2023 5:30,2538.0,2482.5,2023-10,2533.9,1627836,-0.00388264,0.042454707,MINING
ADANIENT,2506.35,10/12/2023 5:30,2521.75,2490.65,2023-10,2499.9,1804818,0.007132524,0.049890041,MINING
ADANIENT,2454.55,10/13/2023 5:30,2495.0,2422.35,2023-10,2488.9,2278682,-0.020667505,0.028191434,MINING
ADANIENT,2429.35,10/16/2023 5:30,2464.7,2421.85,2023-10,2454.55,803856,-0.010266648,0.017635354,MINING
ADANIENT,2428.4,10/17/2023 5:30,2462.0,2423.5,2023-10,2459.95,707543,-0.000391051,0.017237407,MINING
ADANIENT,2406.35,10/18/2023 5:30,2441.75,2401.05,2023-10,2440.0,776977,-0.009080053,0.008000838,MINING
ADANIENT,2402.2,10/19/2023 5:30,2414.7,2382.55,2023-10,2400.0,1168822,-0.001724604,0.006262436,MINING
ADANIENT,2393.75,10/20/2023 5:30,2443.95,2382.05,2023-10,2398.05,1240350,-0.003517609,0.002722798,MINING
ADANIENT,2308.65,10/23/2023 5:30,2412.35,2301.8,2023-10,2397.8,1483549,-0.035550914,-0.032924914,MINING
ADANIENT,2257.0,10/25/2023 5:30,2348.05,2235.3,2023-10,2320.0,1540819,-0.022372382,-0.054560687,MINING
ADANIENT,2203.2,10/26/2023 5:30,2249.0,2167.05,2023-10,2249.0,2226073,-0.023836952,-0.077097078,MINING
ADANIENT,2261.7,10/27/2023 5:30,2275.0,2212.0,2023-10,2222.0,1244293,0.026552288,-0.052591894,MINING
ADANIENT,2299.1,10/30/2023 5:30,2305.0,2250.0,2023-10,2260.05,996448,0.016536234,-0.036925332,MINING
ADANIENT,2294.65,10/31/2023 5:30,2320.0,2276.0,2023-10,2320.0,1155280,-0.00193554,-0.038789402,MINING
ADANIENT,2217.3,11/1/2023 5:30,2312.25,2207.0,2023-11,2299.0,1666579,-0.033708844,-0.071190701,MINING
ADANIENT,2215.3,11/2/2023 5:30,2297.95,2204.2,2023-11,2247.0,2340997,-0.000901998,-0.072028485,MINING
ADANIENT,2229.85,11/3/2023 5:30,2279.0,2215.0,2023-11,2215.3,1853300,0.006567959,-0.065933606,MINING
ADANIENT,2246.0,11/6/2023 5:30,2260.0,2233.0,2023-11,2253.95,770061,0.00724264,-0.059168499,MINING
ADANIENT,2233.35,11/7/2023 5:30,2260.0,2226.65,2023-11,2257.0,641554,-0.005632235,-0.064467484,MINING
ADANIENT,2259.95,11/8/2023 5:30,2298.0,2235.0,2023-11,2245.3,1169180,0.011910359,-0.053324955,MINING
ADANIENT,2214.65,11/9/2023 5:30,2272.6,2210.1,2023-11,2269.0,1267890,-0.020044691,-0.072300764,MINING
ADANIENT,2205.1,11/10/2023 5:30,2237.0,2198.5,2023-11,2220.25,1072597,-0.004312194,-0.076301183,MINING
ADANIENT,2211.35,11/12/2023 5:30,2226.0,2205.1,2023-11,2219.7,148320,0.002834339,-0.073683108,MINING
ADANIENT,2213.65,11/13/2023 5:30,2241.9,2195.55,2023-11,2215.5,853633,0.001040089,-0.072719657,MINING
ADANIENT,2225.4,11/15/2023 5:30,2250.0,2220.5,2023-11,2240.0,696475,0.005307976,-0.067797675,MINING
ADANIENT,2205.9,11/16/2023 5:30,2232.8,2196.1,2023-11,2226.0,1307584,-0.00876247,-0.07596607,MINING
ADANIENT,2208.8,11/17/2023 5:30,2237.95,2201.0,2023-11,2205.9,916518,0.001314656,-0.074751283,MINING
ADANIENT,2149.85,11/20/2023 5:30,2218.5,2142.0,2023-11,2211.0,1577213,-0.0266887,-0.099444968,MINING
ADANIENT,2196.65,11/21/2023 5:30,2232.55,2158.35,2023-11,2160.0,1839502,0.021768961,-0.079840821,MINING
ADANIENT,2172.65,11/22/2023 5:30,2225.0,2153.5,2023-11,2205.15,1247205,-0.010925728,-0.08989423,MINING
ADANIENT,2175.25,11/23/2023 5:30,2190.0,2160.6,2023-11,2190.0,729114,0.001196695,-0.08880511,MINING
ADANIENT,2225.45,11/24/2023 5:30,2251.95,2160.9,2023-11,2179.0,1946259,0.023077807,-0.067776731,MINING
ADANIENT,2423.5,11/28/2023 5:30,2512.4,2275.0,2023-11,2301.0,11972275,0.088993237,0.015184836,MINING
ADANIENT,2396.6,11/29/2023 5:30,2477.65,2390.0,2023-11,2468.7,4561574,-0.011099649,0.00391664,MINING
ADANIENT,2358.55,11/30/2023 5:30,2409.0,2343.05,2023-11,2400.05,2983879,-0.015876659,-0.012022201,MINING
